California,05/10/2021,438100,438100
California,05/03/2021,428600,428600
California,04/26/2021,428600,428600
California,04/19/2021,428600,428600
California,04/12/2021,397400,397400
California,04/05/2021,397400,397400
California,03/29/2021,380300,380300
California,03/22/2021,380300,380300
California,03/15/2021,380300,380300
California,03/08/2021,380300,380300
California,03/01/2021,380300,380300
California,02/22/2021,380300,380300
California,02/15/2021,380300,380300
California,02/08/2021,351900,351900
California,02/01/2021,322000,322000
California,01/25/2021,244000,244000
California,01/18/2021,244000,244000
California,01/11/2021,232300,232300
California,01/04/2021,231400,231400
New York,05/10/2021,128200,128200
New York,05/03/2021,125400,125400
New York,04/26/2021,125400,125400
New York,04/19/2021,125400,125400
New York,04/12/2021,116300,116300
New York,04/05/2021,116300,116300
New York,03/29/2021,111300,111300
New York,03/22/2021,111300,111300
New York,03/15/2021,111300,111300
New York,03/08/2021,111300,111300
New York,03/01/2021,111300,111300
New York,02/22/2021,111300,111300
New York,02/15/2021,111300,111300
New York,02/08/2021,103000,103000
New York,02/01/2021,94200,94200
New York,01/25/2021,71400,71400
New York,01/18/2021,71400,71400
New York,01/11/2021,68000,68000
New York,01/04/2021,67700,67700
New York City,05/10/2021,97400,97400
New York City,05/03/2021,95200,95200
New York City,04/26/2021,95200,95200
New York City,04/19/2021,95200,95200
New York City,04/12/2021,88300,88300
New York City,04/05/2021,88300,88300
New York City,03/29/2021,84500,84500
New York City,03/22/2021,84500,84500
New York City,03/15/2021,84500,84500
New York City,03/08/2021,84500,84500
New York City,03/01/2021,84500,84500
New York City,02/22/2021,84500,84500
New York City,02/15/2021,84500,84500
New York City,02/08/2021,78200,78200
New York City,02/01/2021,71500,71500
New York City,01/25/2021,54200,54200
New York City,01/18/2021,54200,54200
New York City,01/11/2021,51600,51600
New York City,01/04/2021,51400,51400
Texas,05/10/2021,300000,300000
Texas,05/03/2021,293500,293500
Texas,04/26/2021,293500,293500
Texas,04/19/2021,293500,293500
Texas,04/12/2021,272100,272100
Texas,04/05/2021,272100,272100
Texas,03/29/2021,260400,260400
Texas,03/22/2021,260400,260400
Texas,03/15/2021,260400,260400
Texas,03/08/2021,260400,260400
Texas,03/01/2021,260400,260400
Texas,02/22/2021,260400,260400
Texas,02/15/2021,260400,260400
Texas,02/08/2021,241000,241000
Texas,02/01/2021,220500,220500
Texas,01/25/2021,167100,167100
Texas,01/18/2021,167100,167100
Texas,01/11/2021,159100,159100
Texas,01/04/2021,158500,158500